	107	109
1	1&&5&&9	1&&5&&9
2	1&&9	1
3	3&&5&&9	1&&5
4	2&&1	1&&2
5	1	1
6	1	1
7	1&&2	1&&2
8	1&&5	1&&5
9	5&&1	1&&5&&9
10	999	999
11	1	1
12	1	1
13	1&&2	1&&2
14	1&&5	1&&5
15	1&&9	1
16	9&&1	9&&1
17	1	1
18	1	1
19	3&&1	1&&3
20	1&&5	5&&1
21	1	1
22	9&&1	1
23	1&&2&&9	1&&2
24	1&&9	1
25	3&&1	1&&3
26	7	7
27	1	1
28	1	1
29	5&&1	1&&5
30	1	1
31	999	999
32	1&&5	1&&5
33	1&&5	1&&5
34	1&&5	1&&5
35	1&&2	1&&2
36	1	1
37	1	1
38	1&&9	1&&9
39	1&&2	2
40	1&&2	1
41	1&&5	1&&5
42	1	1
43	5&&1	1&&5
44	2&&1	1&&2
45	1&&9	1
46	1	1
47	1	1
48	2	1&&2
49	9	1&&9
50	9	1&&9
