	107	109
1	1	1&&2
2	3	2&&3
3	1	1&&2
4	1	1&&2
5	5	999
6	4	2
7	1	1&&2
8	2	2
9	4	2
10	1	999
11	9&&4	2&&4
12	5	999
13	2&&4	2
14	1	2&&3
15	7	2&&8
16	3&&4	2&&7
17	5	3&&2
18	4	999
19	4&&3	999
20	4	2&&3
21	3&&4	2&&3
22	7	3&&2
23	4	2&&7
24	4	2&&3
25	4	3&&2
26	4	2&&3
27	4&&7	2&&3
28	4	2&&3
29	4	2&&3
30	4	2&&3
31	4&&3&&9	2&&3
32	4	2&&3
33	7	2&&3
34	4&&7	2&&3
35	4&&3	2&&3
36	4	2&&3
37	2	2&&3
38	3	999
39	3	2&&3
40	4&&7	2&&3
41	3	2&&3
42	4	2&&3
43	4	2&&3
44	4	2&&3
45	5	3&&2
46	5	4&&2&&5
47	999	2&&5
48	7	999
49	4	2&&7
50	2&&3
